time;I(VBT1);V(+3V0);V(/Green_Signal);V(/Red_Signal);
30.1813;-0.000190197;3;-0.106208;-0.0969973;
30.1823;-0.00114534;3;-0.0902976;-0.0969574;
30.1833;-0.000189369;3;-0.106209;-0.0969165;
30.1843;-0.00114449;3;-0.0902987;-0.0968747;
30.1853;-0.000188502;3;-0.10621;-0.0968318;
30.1863;-0.0011436;3;-0.0902998;-0.0967879;
30.1873;-0.000187596;3;-0.106211;-0.0967429;
30.1883;-0.00114267;3;-0.0903009;-0.0966968;
30.1893;-0.000186649;3;-0.106212;-0.0966497;
30.1903;-0.0011417;3;-0.0903019;-0.0966015;
30.1913;-0.00018566;3;-0.106213;-0.0965521;
30.1923;-0.00114069;3;-0.090303;-0.0965016;
30.1933;-0.00018463;3;-0.106214;-0.0964499;
30.1943;-0.00113963;3;-0.090304;-0.0963971;
30.1953;-0.000183556;3;-0.106215;-0.0963431;
30.1963;-0.00113854;3;-0.0903051;-0.0962878;
30.1973;-0.000182438;3;-0.106216;-0.0962314;
30.1983;-0.0011374;3;-0.0903061;-0.0961737;
30.1993;-0.000181276;3;-0.106216;-0.0961147;
30.2003;-0.00113621;3;-0.0903072;-0.0960545;
30.2013;-0.000180069;3;-0.106217;-0.095993;
30.2023;-0.00113498;3;-0.0903082;-0.0959302;
30.2033;-0.000178816;3;-0.106218;-0.095866;
30.2043;-0.0011337;3;-0.0903092;-0.0958006;
30.2053;-0.000177517;3;-0.106219;-0.0957337;
30.2063;-0.00113237;3;-0.0903102;-0.0956655;
30.2073;-0.000176171;3;-0.10622;-0.095596;
30.2083;-0.001131;3;-0.0903112;-0.095525;
30.2093;-0.000174779;3;-0.106221;-0.0954526;
30.2103;-0.00112959;3;-0.0903121;-0.0953788;
30.2113;-0.00017334;3;-0.106222;-0.0953035;
30.2123;-0.00112812;3;-0.0903131;-0.0952268;
30.2133;-0.000171854;3;-0.106222;-0.0951486;
30.2143;-0.00112661;3;-0.0903141;-0.0950689;
30.2153;-0.000170321;3;-0.106223;-0.0949877;
30.2163;-0.00112505;3;-0.090315;-0.094905;
30.2173;-0.000168741;3;-0.106224;-0.0948208;
30.2183;-0.00112345;3;-0.090316;-0.0947351;
30.2193;-0.000167115;3;-0.106225;-0.0946478;
30.2203;-0.00112179;3;-0.0903169;-0.0945589;
30.2213;-0.000165442;3;-0.106226;-0.0944685;
30.2223;-0.0011201;3;-0.0903178;-0.0943765;
30.2233;-0.000163724;3;-0.106226;-0.0942828;
30.2243;-0.00111835;3;-0.0903187;-0.0941876;
30.2253;-0.000161961;3;-0.106227;-0.0940908;
30.2263;-0.00111657;3;-0.0903196;-0.0939924;
30.2273;-0.000160153;3;-0.106228;-0.0938923;
30.2283;-0.00111474;3;-0.0903205;-0.0937905;
30.2293;-0.000158302;3;-0.106229;-0.0936872;
30.2303;-0.00111286;3;-0.0903214;-0.0935821;
30.2313;-0.000156408;3;-0.106229;-0.0934754;
30.2323;-0.00111094;3;-0.0903223;-0.093367;
30.2333;-0.000154472;3;-0.10623;-0.093257;
30.2343;-0.00110899;3;-0.0903231;-0.0931453;
30.2353;-0.000152496;3;-0.106231;-0.0930318;
30.2363;-0.00110699;3;-0.090324;-0.0929167;
30.2373;-0.000150481;3;-0.106232;-0.0927999;
30.2383;-0.00110495;3;-0.0903248;-0.0926813;
30.2393;-0.000148428;3;-0.106232;-0.0925611;
30.2403;-0.00110288;3;-0.0903256;-0.0924391;
30.2413;-0.000146339;3;-0.106233;-0.0923154;
30.2423;-0.00110077;3;-0.0903264;-0.0921901;
30.2433;-0.000144216;3;-0.106234;-0.0920629;
30.2443;-0.00109863;3;-0.0903272;-0.0919341;
30.2453;-0.000142059;3;-0.106234;-0.0918035;
30.2463;-0.00109645;3;-0.090328;-0.0916713;
30.2473;-0.000139871;3;-0.106235;-0.0915373;
30.2483;-0.00109425;3;-0.0903287;-0.0914015;
30.2493;-0.000137654;3;-0.106236;-0.0912641;
30.2503;-0.00109201;3;-0.0903294;-0.0911249;
